Unnamed: 0,filename,gender,race,adult,expression,valence,arousal
0,buaa-55_24.bmp,male,mongo,yes,0.0,-0.22,0.1
1,buaa-100_22.bmp,male,mongo,yes,1.0,0.49,0.42
2,buaa-59_28.bmp,male,mongo,yes,5.0,-0.1,0.9
3,buaa-104_26.bmp,male,mongo,yes,0.0,0.22,-0.56
4,buaa-11_22.bmp,male,mongo,yes,1.0,0.78,0.35
5,buaa-74_22.bmp,male,mongo,yes,1.0,0.88,0.08
6,buaa-58_22.bmp,male,mongo,yes,1.0,0.63,0.35
7,buaa-136_22.bmp,male,mongo,yes,1.0,0.83,0.13
8,buaa-140_24.bmp,male,mongo,yes,3.0,-0.74,-0.21
9,buaa-27_22.bmp,male,mongo,yes,1.0,0.9,0.13
10,buaa-81_22.bmp,male,mongo,yes,1.0,0.65,0.3
11,buaa-78_22.bmp,male,mongo,yes,1.0,1.0,0.16
12,buaa-25_22.bmp,male,mongo,yes,1.0,0.85,0.1
13,buaa-87_28.bmp,male,mongo,yes,5.0,0.37,0.85
14,buaa-100_28.bmp,male,mongo,yes,5.0,0.6,0.31
15,buaa-138_26.bmp,male,mongo,yes,3.0,-0.5,-0.18
16,buaa-64_28.bmp,male,mongo,yes,4.0,-0.07,0.87
17,buaa-13_28.bmp,male,mongo,yes,4.0,-0.13,0.88
18,buaa-101_24.bmp,male,mongo,yes,0.0,-0.21,0.06
19,buaa-141_22.bmp,male,mongo,yes,1.0,0.47,0.31
20,buaa-41_22.bmp,male,mongo,yes,1.0,0.87,0.07
21,buaa-16_26.bmp,male,mongo,yes,0.0,0.16,0.23
22,buaa-95_22.bmp,male,mongo,yes,1.0,0.78,0.29
23,buaa-58_26.bmp,male,mongo,yes,0.0,0.09,-0.63
24,buaa-101_22.bmp,male,mongo,yes,1.0,0.21,0.62
25,buaa-39_22.bmp,male,mongo,yes,1.0,0.9,-0.06
26,buaa-40_24.bmp,male,mongo,yes,3.0,-0.21,-0.21
27,buaa-84_28.bmp,male,mongo,yes,5.0,0.09,0.76
28,buaa-111_22.bmp,male,mongo,yes,1.0,0.63,0.15
29,buaa-29_28.bmp,male,mongo,yes,5.0,0.08,0.91
30,buaa-46_22.bmp,male,mongo,yes,1.0,0.39,0.15
31,buaa-122_28.bmp,male,mongo,yes,4.0,-0.03,0.92
32,buaa-37_26.bmp,male,mongo,yes,7.0,-0.73,0.59
33,buaa-16_28.bmp,male,mongo,yes,5.0,0.26,0.88
34,buaa-129_28.bmp,male,mongo,yes,5.0,0.12,0.92
35,buaa-146_26.bmp,male,mongo,yes,3.0,-0.86,-0.04
36,buaa-45_22.bmp,male,mongo,yes,1.0,0.97,0.09
37,buaa-63_24.bmp,male,mongo,yes,2.0,-0.32,0.81
38,buaa-121_22.bmp,male,mongo,yes,1.0,0.62,0.36
39,buaa-134_28.bmp,male,mongo,yes,4.0,-0.13,0.92
40,buaa-46_26.bmp,male,mongo,yes,3.0,-0.49,-0.12
41,buaa-149_22.bmp,male,mongo,yes,1.0,0.78,0.35
42,buaa-48_26.bmp,male,mongo,yes,6.0,-0.62,0.44
43,buaa-35_28.bmp,male,mongo,yes,1.0,0.49,0.04
44,buaa-6_28.bmp,male,mongo,yes,5.0,0.05,0.76
45,buaa-142_26.bmp,male,mongo,yes,3.0,-0.9,-0.07
46,24.bmp,male,mongo,yes,0.0,0.22,0.5
47,buaa-4_24.bmp,male,mongo,yes,1.0,0.26,-0.2
48,buaa-78_28.bmp,male,mongo,yes,4.0,-0.17,0.76
49,buaa-18_26.bmp,male,mongo,yes,7.0,0.18,0.6
50,buaa-61_26.bmp,male,mongo,yes,2.0,-0.25,0.37
51,buaa-149_24.bmp,male,mongo,yes,3.0,-0.47,-0.39
52,buaa-53_26.bmp,male,mongo,yes,6.0,-0.69,0.46
53,buaa-91_24.bmp,male,mongo,yes,3.0,-0.21,-0.12
54,buaa-86_22.bmp,male,mongo,yes,1.0,0.93,0.1
55,buaa-72_24.bmp,male,mongo,yes,3.0,-0.66,-0.51
56,buaa-119_26.bmp,male,mongo,yes,3.0,-0.63,-0.13
57,buaa-26_28.bmp,male,mongo,yes,4.0,-0.02,0.83
58,buaa-98_28.bmp,male,mongo,yes,5.0,0.25,0.89
59,buaa-123_28.bmp,male,mongo,yes,4.0,-0.76,0.06
60,buaa-80_24.bmp,male,mongo,yes,6.0,-0.62,0.57
61,buaa-99_26.bmp,male,mongo,yes,7.0,0.12,0.69
62,buaa-43_26.bmp,male,mongo,yes,4.0,-0.11,0.8
63,buaa-15_28.bmp,male,mongo,yes,0.0,-0.32,-0.05
64,buaa-143_28.bmp,male,mongo,yes,5.0,0.44,0.84
65,buaa-72_22.bmp,male,mongo,yes,1.0,0.54,0.18
66,buaa-116_24.bmp,male,mongo,yes,4.0,-0.1,0.91
67,buaa-34_24.bmp,male,mongo,yes,1.0,0.74,-0.31
68,buaa-107_22.bmp,male,mongo,yes,1.0,0.98,0.09
69,buaa-127_28.bmp,male,mongo,yes,5.0,0.32,0.86
70,buaa-51_28.bmp,male,mongo,yes,1.0,0.93,0.12
71,buaa-19_28.bmp,male,mongo,yes,4.0,-0.16,0.76
72,buaa-50_26.bmp,male,mongo,yes,3.0,-0.29,-0.3
73,buaa-139_26.bmp,male,mongo,yes,1.0,0.76,-0.07
74,buaa-10_28.bmp,male,mongo,yes,4.0,-0.13,0.79
75,buaa-63_22.bmp,male,mongo,yes,1.0,0.82,-0.09
76,buaa-85_28.bmp,male,mongo,yes,4.0,-0.15,0.86
77,buaa-146_22.bmp,male,mongo,yes,1.0,0.55,0.18
