,db,spectra,filepath,filename,adjusted_unique_filename,oulucasia-patient,oulucasia-emotion,filetype,race,expression,valence,arousal,expression_name,casia-session,casia-patient,casia-img_id,buaa-patient,buaa-image_type,customdb-patient,new_filetype,split
1,buaa,nir,data/BUAA/BUAAVISNIR/19/2.bmp,2.bmp,buaa-19-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,19,neutral,,jpg,train
3,buaa,nir,data/BUAA/BUAAVISNIR/19/4.bmp,4.bmp,buaa-19-4.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,19,tilt,,jpg,train
5,buaa,nir,data/BUAA/BUAAVISNIR/19/6.bmp,6.bmp,buaa-19-6.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,19,tilt,,jpg,train
7,buaa,nir,data/BUAA/BUAAVISNIR/19/8.bmp,8.bmp,buaa-19-8.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,19,tilt,,jpg,train
9,buaa,nir,data/BUAA/BUAAVISNIR/19/10.bmp,10.bmp,buaa-19-10.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,19,tilt,,jpg,train
11,buaa,nir,data/BUAA/BUAAVISNIR/19/12.bmp,12.bmp,buaa-19-12.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,19,tilt,,jpg,train
13,buaa,nir,data/BUAA/BUAAVISNIR/19/14.bmp,14.bmp,buaa-19-14.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,19,tilt,,jpg,train
15,buaa,nir,data/BUAA/BUAAVISNIR/19/16.bmp,16.bmp,buaa-19-16.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,19,tilt,,jpg,train
17,buaa,nir,data/BUAA/BUAAVISNIR/19/18.bmp,18.bmp,buaa-19-18.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,19,tilt,,jpg,train
19,buaa,nir,data/BUAA/BUAAVISNIR/19/22.bmp,22.bmp,buaa-19-22.jpg,,,bmp,mongo,1.0,0.37,0.09,Happy,,,,19,affection,,jpg,train
21,buaa,nir,data/BUAA/BUAAVISNIR/19/24.bmp,24.bmp,buaa-19-24.jpg,,,bmp,mongo,6.0,-0.42,0.74,Anger,,,,19,affection,,jpg,train
23,buaa,nir,data/BUAA/BUAAVISNIR/19/26.bmp,26.bmp,buaa-19-26.jpg,,,bmp,mongo,2.0,-0.84,-0.47,Sad,,,,19,affection,,jpg,train
25,buaa,nir,data/BUAA/BUAAVISNIR/19/28.bmp,28.bmp,buaa-19-28.jpg,,,bmp,mongo,4.0,-0.16,0.76,Fear,,,,19,affection,,jpg,train
41,buaa,nir,data/BUAA/BUAAVISNIR/100/2.bmp,2.bmp,buaa-100-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,100,neutral,,jpg,train
43,buaa,nir,data/BUAA/BUAAVISNIR/100/4.bmp,4.bmp,buaa-100-4.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,100,tilt,,jpg,train
45,buaa,nir,data/BUAA/BUAAVISNIR/100/6.bmp,6.bmp,buaa-100-6.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,100,tilt,,jpg,train
47,buaa,nir,data/BUAA/BUAAVISNIR/100/8.bmp,8.bmp,buaa-100-8.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,100,tilt,,jpg,train
49,buaa,nir,data/BUAA/BUAAVISNIR/100/10.bmp,10.bmp,buaa-100-10.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,100,tilt,,jpg,train
51,buaa,nir,data/BUAA/BUAAVISNIR/100/12.bmp,12.bmp,buaa-100-12.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,100,tilt,,jpg,train
53,buaa,nir,data/BUAA/BUAAVISNIR/100/14.bmp,14.bmp,buaa-100-14.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,100,tilt,,jpg,train
55,buaa,nir,data/BUAA/BUAAVISNIR/100/16.bmp,16.bmp,buaa-100-16.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,100,tilt,,jpg,train
57,buaa,nir,data/BUAA/BUAAVISNIR/100/18.bmp,18.bmp,buaa-100-18.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,100,tilt,,jpg,train
59,buaa,nir,data/BUAA/BUAAVISNIR/100/22.bmp,22.bmp,buaa-100-22.jpg,,,bmp,mongo,1.0,0.49,0.42,Happy,,,,100,affection,,jpg,train
61,buaa,nir,data/BUAA/BUAAVISNIR/100/24.bmp,24.bmp,buaa-100-24.jpg,,,bmp,mongo,6.0,-0.37,0.7,Anger,,,,100,affection,,jpg,train
63,buaa,nir,data/BUAA/BUAAVISNIR/100/26.bmp,26.bmp,buaa-100-26.jpg,,,bmp,mongo,1.0,0.75,-0.58,Happy,,,,100,affection,,jpg,train
65,buaa,nir,data/BUAA/BUAAVISNIR/100/28.bmp,28.bmp,buaa-100-28.jpg,,,bmp,mongo,3.0,0.6,0.31,Surprise,,,,100,affection,,jpg,train
81,buaa,nir,data/BUAA/BUAAVISNIR/90/2.bmp,2.bmp,buaa-90-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,90,neutral,,jpg,train
83,buaa,nir,data/BUAA/BUAAVISNIR/90/4.bmp,4.bmp,buaa-90-4.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,90,tilt,,jpg,train
85,buaa,nir,data/BUAA/BUAAVISNIR/90/6.bmp,6.bmp,buaa-90-6.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,90,tilt,,jpg,train
87,buaa,nir,data/BUAA/BUAAVISNIR/90/8.bmp,8.bmp,buaa-90-8.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,90,tilt,,jpg,train
89,buaa,nir,data/BUAA/BUAAVISNIR/90/10.bmp,10.bmp,buaa-90-10.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,90,tilt,,jpg,train
91,buaa,nir,data/BUAA/BUAAVISNIR/90/12.bmp,12.bmp,buaa-90-12.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,90,tilt,,jpg,train
93,buaa,nir,data/BUAA/BUAAVISNIR/90/14.bmp,14.bmp,buaa-90-14.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,90,tilt,,jpg,train
95,buaa,nir,data/BUAA/BUAAVISNIR/90/16.bmp,16.bmp,buaa-90-16.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,90,tilt,,jpg,train
97,buaa,nir,data/BUAA/BUAAVISNIR/90/18.bmp,18.bmp,buaa-90-18.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,90,tilt,,jpg,train
99,buaa,nir,data/BUAA/BUAAVISNIR/90/22.bmp,22.bmp,buaa-90-22.jpg,,,bmp,mongo,1.0,0.95,0.15,Happy,,,,90,affection,,jpg,train
101,buaa,nir,data/BUAA/BUAAVISNIR/90/24.bmp,24.bmp,buaa-90-24.jpg,,,bmp,mongo,6.0,-0.11,0.29,Anger,,,,90,affection,,jpg,train
103,buaa,nir,data/BUAA/BUAAVISNIR/90/26.bmp,26.bmp,buaa-90-26.jpg,,,bmp,mongo,6.0,-0.17,0.58,Anger,,,,90,affection,,jpg,train
105,buaa,nir,data/BUAA/BUAAVISNIR/90/28.bmp,28.bmp,buaa-90-28.jpg,,,bmp,mongo,3.0,0.42,0.85,Surprise,,,,90,affection,,jpg,train
121,buaa,nir,data/BUAA/BUAAVISNIR/112/2.bmp,2.bmp,buaa-112-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,112,neutral,,jpg,train
123,buaa,nir,data/BUAA/BUAAVISNIR/112/4.bmp,4.bmp,buaa-112-4.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,112,tilt,,jpg,train
125,buaa,nir,data/BUAA/BUAAVISNIR/112/6.bmp,6.bmp,buaa-112-6.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,112,tilt,,jpg,train
127,buaa,nir,data/BUAA/BUAAVISNIR/112/8.bmp,8.bmp,buaa-112-8.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,112,tilt,,jpg,train
129,buaa,nir,data/BUAA/BUAAVISNIR/112/10.bmp,10.bmp,buaa-112-10.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,112,tilt,,jpg,train
131,buaa,nir,data/BUAA/BUAAVISNIR/112/12.bmp,12.bmp,buaa-112-12.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,112,tilt,,jpg,train
133,buaa,nir,data/BUAA/BUAAVISNIR/112/14.bmp,14.bmp,buaa-112-14.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,112,tilt,,jpg,train
135,buaa,nir,data/BUAA/BUAAVISNIR/112/16.bmp,16.bmp,buaa-112-16.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,112,tilt,,jpg,train
