,db,spectra,filepath,filename,adjusted_unique_filename,oulucasia-patient,oulucasia-emotion,filetype,race,expression,valence,arousal,expression_name,casia-session,casia-patient,casia-img_id,buaa-patient,buaa-image_type,customdb-patient,new_filetype
1,buaa,nir,data/BUAA/BUAAVISNIR/19/2.bmp,2.bmp,buaa-19-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,19,neutral,,jpg
3,buaa,nir,data/BUAA/BUAAVISNIR/19/4.bmp,4.bmp,buaa-19-4.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,19,tilt,,jpg
5,buaa,nir,data/BUAA/BUAAVISNIR/19/6.bmp,6.bmp,buaa-19-6.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,19,tilt,,jpg
7,buaa,nir,data/BUAA/BUAAVISNIR/19/8.bmp,8.bmp,buaa-19-8.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,19,tilt,,jpg
9,buaa,nir,data/BUAA/BUAAVISNIR/19/10.bmp,10.bmp,buaa-19-10.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,19,tilt,,jpg
11,buaa,nir,data/BUAA/BUAAVISNIR/19/12.bmp,12.bmp,buaa-19-12.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,19,tilt,,jpg
13,buaa,nir,data/BUAA/BUAAVISNIR/19/14.bmp,14.bmp,buaa-19-14.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,19,tilt,,jpg
15,buaa,nir,data/BUAA/BUAAVISNIR/19/16.bmp,16.bmp,buaa-19-16.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,19,tilt,,jpg
17,buaa,nir,data/BUAA/BUAAVISNIR/19/18.bmp,18.bmp,buaa-19-18.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,19,tilt,,jpg
19,buaa,nir,data/BUAA/BUAAVISNIR/19/22.bmp,22.bmp,buaa-19-22.jpg,,,bmp,mongo,1.0,0.37,0.09,Happy,,,,19,affection,,jpg
21,buaa,nir,data/BUAA/BUAAVISNIR/19/24.bmp,24.bmp,buaa-19-24.jpg,,,bmp,mongo,6.0,-0.42,0.74,Anger,,,,19,affection,,jpg
23,buaa,nir,data/BUAA/BUAAVISNIR/19/26.bmp,26.bmp,buaa-19-26.jpg,,,bmp,mongo,2.0,-0.84,-0.47,Sad,,,,19,affection,,jpg
25,buaa,nir,data/BUAA/BUAAVISNIR/19/28.bmp,28.bmp,buaa-19-28.jpg,,,bmp,mongo,4.0,-0.16,0.76,Fear,,,,19,affection,,jpg
41,buaa,nir,data/BUAA/BUAAVISNIR/100/2.bmp,2.bmp,buaa-100-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,100,neutral,,jpg
43,buaa,nir,data/BUAA/BUAAVISNIR/100/4.bmp,4.bmp,buaa-100-4.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,100,tilt,,jpg
45,buaa,nir,data/BUAA/BUAAVISNIR/100/6.bmp,6.bmp,buaa-100-6.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,100,tilt,,jpg
47,buaa,nir,data/BUAA/BUAAVISNIR/100/8.bmp,8.bmp,buaa-100-8.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,100,tilt,,jpg
49,buaa,nir,data/BUAA/BUAAVISNIR/100/10.bmp,10.bmp,buaa-100-10.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,100,tilt,,jpg
51,buaa,nir,data/BUAA/BUAAVISNIR/100/12.bmp,12.bmp,buaa-100-12.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,100,tilt,,jpg
53,buaa,nir,data/BUAA/BUAAVISNIR/100/14.bmp,14.bmp,buaa-100-14.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,100,tilt,,jpg
55,buaa,nir,data/BUAA/BUAAVISNIR/100/16.bmp,16.bmp,buaa-100-16.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,100,tilt,,jpg
57,buaa,nir,data/BUAA/BUAAVISNIR/100/18.bmp,18.bmp,buaa-100-18.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,100,tilt,,jpg
59,buaa,nir,data/BUAA/BUAAVISNIR/100/22.bmp,22.bmp,buaa-100-22.jpg,,,bmp,mongo,1.0,0.49,0.42,Happy,,,,100,affection,,jpg
61,buaa,nir,data/BUAA/BUAAVISNIR/100/24.bmp,24.bmp,buaa-100-24.jpg,,,bmp,mongo,6.0,-0.37,0.7,Anger,,,,100,affection,,jpg
63,buaa,nir,data/BUAA/BUAAVISNIR/100/26.bmp,26.bmp,buaa-100-26.jpg,,,bmp,mongo,1.0,0.75,-0.58,Happy,,,,100,affection,,jpg
65,buaa,nir,data/BUAA/BUAAVISNIR/100/28.bmp,28.bmp,buaa-100-28.jpg,,,bmp,mongo,3.0,0.6,0.31,Surprise,,,,100,affection,,jpg
81,buaa,nir,data/BUAA/BUAAVISNIR/90/2.bmp,2.bmp,buaa-90-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,90,neutral,,jpg
83,buaa,nir,data/BUAA/BUAAVISNIR/90/4.bmp,4.bmp,buaa-90-4.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,90,tilt,,jpg
85,buaa,nir,data/BUAA/BUAAVISNIR/90/6.bmp,6.bmp,buaa-90-6.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,90,tilt,,jpg
87,buaa,nir,data/BUAA/BUAAVISNIR/90/8.bmp,8.bmp,buaa-90-8.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,90,tilt,,jpg
89,buaa,nir,data/BUAA/BUAAVISNIR/90/10.bmp,10.bmp,buaa-90-10.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,90,tilt,,jpg
91,buaa,nir,data/BUAA/BUAAVISNIR/90/12.bmp,12.bmp,buaa-90-12.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,90,tilt,,jpg
93,buaa,nir,data/BUAA/BUAAVISNIR/90/14.bmp,14.bmp,buaa-90-14.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,90,tilt,,jpg
95,buaa,nir,data/BUAA/BUAAVISNIR/90/16.bmp,16.bmp,buaa-90-16.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,90,tilt,,jpg
97,buaa,nir,data/BUAA/BUAAVISNIR/90/18.bmp,18.bmp,buaa-90-18.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,90,tilt,,jpg
99,buaa,nir,data/BUAA/BUAAVISNIR/90/22.bmp,22.bmp,buaa-90-22.jpg,,,bmp,mongo,1.0,0.95,0.15,Happy,,,,90,affection,,jpg
101,buaa,nir,data/BUAA/BUAAVISNIR/90/24.bmp,24.bmp,buaa-90-24.jpg,,,bmp,mongo,6.0,-0.11,0.29,Anger,,,,90,affection,,jpg
103,buaa,nir,data/BUAA/BUAAVISNIR/90/26.bmp,26.bmp,buaa-90-26.jpg,,,bmp,mongo,6.0,-0.17,0.58,Anger,,,,90,affection,,jpg
105,buaa,nir,data/BUAA/BUAAVISNIR/90/28.bmp,28.bmp,buaa-90-28.jpg,,,bmp,mongo,3.0,0.42,0.85,Surprise,,,,90,affection,,jpg
121,buaa,nir,data/BUAA/BUAAVISNIR/112/2.bmp,2.bmp,buaa-112-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,112,neutral,,jpg
123,buaa,nir,data/BUAA/BUAAVISNIR/112/4.bmp,4.bmp,buaa-112-4.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,112,tilt,,jpg
125,buaa,nir,data/BUAA/BUAAVISNIR/112/6.bmp,6.bmp,buaa-112-6.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,112,tilt,,jpg
127,buaa,nir,data/BUAA/BUAAVISNIR/112/8.bmp,8.bmp,buaa-112-8.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,112,tilt,,jpg
129,buaa,nir,data/BUAA/BUAAVISNIR/112/10.bmp,10.bmp,buaa-112-10.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,112,tilt,,jpg
131,buaa,nir,data/BUAA/BUAAVISNIR/112/12.bmp,12.bmp,buaa-112-12.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,112,tilt,,jpg
133,buaa,nir,data/BUAA/BUAAVISNIR/112/14.bmp,14.bmp,buaa-112-14.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,112,tilt,,jpg
135,buaa,nir,data/BUAA/BUAAVISNIR/112/16.bmp,16.bmp,buaa-112-16.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,112,tilt,,jpg
137,buaa,nir,data/BUAA/BUAAVISNIR/112/18.bmp,18.bmp,buaa-112-18.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,112,tilt,,jpg
139,buaa,nir,data/BUAA/BUAAVISNIR/112/22.bmp,22.bmp,buaa-112-22.jpg,,,bmp,mongo,1.0,0.44,0.2,Happy,,,,112,affection,,jpg
141,buaa,nir,data/BUAA/BUAAVISNIR/112/24.bmp,24.bmp,buaa-112-24.jpg,,,bmp,mongo,2.0,-0.52,-0.07,Sad,,,,112,affection,,jpg
143,buaa,nir,data/BUAA/BUAAVISNIR/112/26.bmp,26.bmp,buaa-112-26.jpg,,,bmp,mongo,0.0,0.01,-0.02,Neutral,,,,112,affection,,jpg
145,buaa,nir,data/BUAA/BUAAVISNIR/112/28.bmp,28.bmp,buaa-112-28.jpg,,,bmp,mongo,3.0,0.07,0.9,Surprise,,,,112,affection,,jpg
161,buaa,nir,data/BUAA/BUAAVISNIR/94/2.bmp,2.bmp,buaa-94-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,94,neutral,,jpg
163,buaa,nir,data/BUAA/BUAAVISNIR/94/4.bmp,4.bmp,buaa-94-4.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,94,tilt,,jpg
165,buaa,nir,data/BUAA/BUAAVISNIR/94/6.bmp,6.bmp,buaa-94-6.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,94,tilt,,jpg
167,buaa,nir,data/BUAA/BUAAVISNIR/94/8.bmp,8.bmp,buaa-94-8.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,94,tilt,,jpg
169,buaa,nir,data/BUAA/BUAAVISNIR/94/10.bmp,10.bmp,buaa-94-10.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,94,tilt,,jpg
171,buaa,nir,data/BUAA/BUAAVISNIR/94/12.bmp,12.bmp,buaa-94-12.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,94,tilt,,jpg
173,buaa,nir,data/BUAA/BUAAVISNIR/94/14.bmp,14.bmp,buaa-94-14.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,94,tilt,,jpg
175,buaa,nir,data/BUAA/BUAAVISNIR/94/16.bmp,16.bmp,buaa-94-16.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,94,tilt,,jpg
177,buaa,nir,data/BUAA/BUAAVISNIR/94/18.bmp,18.bmp,buaa-94-18.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,94,tilt,,jpg
179,buaa,nir,data/BUAA/BUAAVISNIR/94/22.bmp,22.bmp,buaa-94-22.jpg,,,bmp,mongo,1.0,0.88,0.34,Happy,,,,94,affection,,jpg
181,buaa,nir,data/BUAA/BUAAVISNIR/94/24.bmp,24.bmp,buaa-94-24.jpg,,,bmp,mongo,6.0,-0.76,0.2,Anger,,,,94,affection,,jpg
183,buaa,nir,data/BUAA/BUAAVISNIR/94/26.bmp,26.bmp,buaa-94-26.jpg,,,bmp,mongo,2.0,-0.8,-0.47,Sad,,,,94,affection,,jpg
