,Unnamed: 0,db,spectra,filepath,filename,adjusted_unique_filename,oulucasia-patient,oulucasia-emotion,filetype,race,expression,valence,arousal,expression_name,casia-session,casia-patient,casia-img_id,buaa-patient,buaa-image_type,customdb-patient,new_filetype,split
0,1,buaa,nir,data/BUAA/BUAAVISNIR/19/2.bmp,2.bmp,buaa-19-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,19.0,neutral,,jpg,train
9,19,buaa,nir,data/BUAA/BUAAVISNIR/19/22.bmp,22.bmp,buaa-19-22.jpg,,,bmp,mongo,1.0,0.37,0.09,Happy,,,,19.0,affection,,jpg,train
10,21,buaa,nir,data/BUAA/BUAAVISNIR/19/24.bmp,24.bmp,buaa-19-24.jpg,,,bmp,mongo,6.0,-0.42,0.74,Anger,,,,19.0,affection,,jpg,train
11,23,buaa,nir,data/BUAA/BUAAVISNIR/19/26.bmp,26.bmp,buaa-19-26.jpg,,,bmp,mongo,2.0,-0.84,-0.47,Sad,,,,19.0,affection,,jpg,train
12,25,buaa,nir,data/BUAA/BUAAVISNIR/19/28.bmp,28.bmp,buaa-19-28.jpg,,,bmp,mongo,4.0,-0.16,0.76,Fear,,,,19.0,affection,,jpg,train
13,41,buaa,nir,data/BUAA/BUAAVISNIR/100/2.bmp,2.bmp,buaa-100-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,100.0,neutral,,jpg,train
22,59,buaa,nir,data/BUAA/BUAAVISNIR/100/22.bmp,22.bmp,buaa-100-22.jpg,,,bmp,mongo,1.0,0.49,0.42,Happy,,,,100.0,affection,,jpg,train
23,61,buaa,nir,data/BUAA/BUAAVISNIR/100/24.bmp,24.bmp,buaa-100-24.jpg,,,bmp,mongo,6.0,-0.37,0.7,Anger,,,,100.0,affection,,jpg,train
24,63,buaa,nir,data/BUAA/BUAAVISNIR/100/26.bmp,26.bmp,buaa-100-26.jpg,,,bmp,mongo,1.0,0.75,-0.58,Happy,,,,100.0,affection,,jpg,train
25,65,buaa,nir,data/BUAA/BUAAVISNIR/100/28.bmp,28.bmp,buaa-100-28.jpg,,,bmp,mongo,3.0,0.6,0.31,Surprise,,,,100.0,affection,,jpg,train
26,81,buaa,nir,data/BUAA/BUAAVISNIR/90/2.bmp,2.bmp,buaa-90-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,90.0,neutral,,jpg,train
35,99,buaa,nir,data/BUAA/BUAAVISNIR/90/22.bmp,22.bmp,buaa-90-22.jpg,,,bmp,mongo,1.0,0.95,0.15,Happy,,,,90.0,affection,,jpg,train
36,101,buaa,nir,data/BUAA/BUAAVISNIR/90/24.bmp,24.bmp,buaa-90-24.jpg,,,bmp,mongo,6.0,-0.11,0.29,Anger,,,,90.0,affection,,jpg,train
37,103,buaa,nir,data/BUAA/BUAAVISNIR/90/26.bmp,26.bmp,buaa-90-26.jpg,,,bmp,mongo,6.0,-0.17,0.58,Anger,,,,90.0,affection,,jpg,train
38,105,buaa,nir,data/BUAA/BUAAVISNIR/90/28.bmp,28.bmp,buaa-90-28.jpg,,,bmp,mongo,3.0,0.42,0.85,Surprise,,,,90.0,affection,,jpg,train
39,121,buaa,nir,data/BUAA/BUAAVISNIR/112/2.bmp,2.bmp,buaa-112-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,112.0,neutral,,jpg,train
48,139,buaa,nir,data/BUAA/BUAAVISNIR/112/22.bmp,22.bmp,buaa-112-22.jpg,,,bmp,mongo,1.0,0.44,0.2,Happy,,,,112.0,affection,,jpg,train
49,141,buaa,nir,data/BUAA/BUAAVISNIR/112/24.bmp,24.bmp,buaa-112-24.jpg,,,bmp,mongo,2.0,-0.52,-0.07,Sad,,,,112.0,affection,,jpg,train
50,143,buaa,nir,data/BUAA/BUAAVISNIR/112/26.bmp,26.bmp,buaa-112-26.jpg,,,bmp,mongo,0.0,0.01,-0.02,Neutral,,,,112.0,affection,,jpg,train
51,145,buaa,nir,data/BUAA/BUAAVISNIR/112/28.bmp,28.bmp,buaa-112-28.jpg,,,bmp,mongo,3.0,0.07,0.9,Surprise,,,,112.0,affection,,jpg,train
52,161,buaa,nir,data/BUAA/BUAAVISNIR/94/2.bmp,2.bmp,buaa-94-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,94.0,neutral,,jpg,train
61,179,buaa,nir,data/BUAA/BUAAVISNIR/94/22.bmp,22.bmp,buaa-94-22.jpg,,,bmp,mongo,1.0,0.88,0.34,Happy,,,,94.0,affection,,jpg,train
62,181,buaa,nir,data/BUAA/BUAAVISNIR/94/24.bmp,24.bmp,buaa-94-24.jpg,,,bmp,mongo,6.0,-0.76,0.2,Anger,,,,94.0,affection,,jpg,train
63,183,buaa,nir,data/BUAA/BUAAVISNIR/94/26.bmp,26.bmp,buaa-94-26.jpg,,,bmp,mongo,2.0,-0.8,-0.47,Sad,,,,94.0,affection,,jpg,train
64,185,buaa,nir,data/BUAA/BUAAVISNIR/94/28.bmp,28.bmp,buaa-94-28.jpg,,,bmp,mongo,4.0,-0.14,0.78,Fear,,,,94.0,affection,,jpg,train
65,201,buaa,nir,data/BUAA/BUAAVISNIR/3/2.bmp,2.bmp,buaa-3-2.jpg,,,bmp,mongo,0.0,0.01,0.0,Neutral,,,,3.0,neutral,,jpg,train
74,219,buaa,nir,data/BUAA/BUAAVISNIR/3/22.bmp,22.bmp,buaa-3-22.jpg,,,bmp,mongo,1.0,0.51,0.34,Happy,,,,3.0,affection,,jpg,train
75,221,buaa,nir,data/BUAA/BUAAVISNIR/3/24.bmp,24.bmp,buaa-3-24.jpg,,,bmp,mongo,6.0,-0.4,0.77,Anger,,,,3.0,affection,,jpg,train
76,223,buaa,nir,data/BUAA/BUAAVISNIR/3/26.bmp,26.bmp,buaa-3-26.jpg,,,bmp,mongo,1.0,0.47,0.22,Happy,,,,3.0,affection,,jpg,train
77,225,buaa,nir,data/BUAA/BUAAVISNIR/3/28.bmp,28.bmp,buaa-3-28.jpg,,,bmp,mongo,3.0,0.52,0.37,Surprise,,,,3.0,affection,,jpg,train
78,241,buaa,nir,data/BUAA/BUAAVISNIR/122/2.bmp,2.bmp,buaa-122-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,122.0,neutral,,jpg,train
87,259,buaa,nir,data/BUAA/BUAAVISNIR/122/22.bmp,22.bmp,buaa-122-22.jpg,,,bmp,mongo,1.0,0.42,0.13,Happy,,,,122.0,affection,,jpg,train
88,261,buaa,nir,data/BUAA/BUAAVISNIR/122/24.bmp,24.bmp,buaa-122-24.jpg,,,bmp,mongo,2.0,-0.11,-0.34,Sad,,,,122.0,affection,,jpg,train
89,263,buaa,nir,data/BUAA/BUAAVISNIR/122/26.bmp,26.bmp,buaa-122-26.jpg,,,bmp,mongo,2.0,-0.82,-0.42,Sad,,,,122.0,affection,,jpg,train
