,Unnamed: 0.2,Unnamed: 0.1,filepath,Unnamed: 0,db,spectra,filename,adjusted_unique_filename,oulucasia-patient,oulucasia-emotion,filetype,race,expression,valence,arousal,expression_name,buaa-patient,buaa-image_type,customdb-patient,new_filetype,split
0,0,0,data/BUAA/BUAAVISNIR/19/2.bmp,1,buaa,nir,2.bmp,buaa-19-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,19.0,neutral,,jpg,train
1,1,1,data/BUAA/BUAAVISNIR/19/22.bmp,19,buaa,nir,22.bmp,buaa-19-22.jpg,,,bmp,mongo,1.0,0.37,0.09,Happy,19.0,affection,,jpg,train
2,2,2,data/BUAA/BUAAVISNIR/19/24.bmp,21,buaa,nir,24.bmp,buaa-19-24.jpg,,,bmp,mongo,6.0,-0.42,0.74,Anger,19.0,affection,,jpg,train
3,3,3,data/BUAA/BUAAVISNIR/19/26.bmp,23,buaa,nir,26.bmp,buaa-19-26.jpg,,,bmp,mongo,2.0,-0.84,-0.47,Sad,19.0,affection,,jpg,train
4,4,4,data/BUAA/BUAAVISNIR/19/28.bmp,25,buaa,nir,28.bmp,buaa-19-28.jpg,,,bmp,mongo,4.0,-0.16,0.76,Fear,19.0,affection,,jpg,train
5,5,5,data/BUAA/BUAAVISNIR/100/2.bmp,41,buaa,nir,2.bmp,buaa-100-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,100.0,neutral,,jpg,train
6,6,6,data/BUAA/BUAAVISNIR/100/22.bmp,59,buaa,nir,22.bmp,buaa-100-22.jpg,,,bmp,mongo,1.0,0.49,0.42,Happy,100.0,affection,,jpg,train
7,7,7,data/BUAA/BUAAVISNIR/100/24.bmp,61,buaa,nir,24.bmp,buaa-100-24.jpg,,,bmp,mongo,6.0,-0.37,0.7,Anger,100.0,affection,,jpg,train
8,8,8,data/BUAA/BUAAVISNIR/100/26.bmp,63,buaa,nir,26.bmp,buaa-100-26.jpg,,,bmp,mongo,1.0,0.75,-0.58,Happy,100.0,affection,,jpg,train
9,9,9,data/BUAA/BUAAVISNIR/100/28.bmp,65,buaa,nir,28.bmp,buaa-100-28.jpg,,,bmp,mongo,3.0,0.6,0.31,Surprise,100.0,affection,,jpg,train
10,10,10,data/BUAA/BUAAVISNIR/90/2.bmp,81,buaa,nir,2.bmp,buaa-90-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,90.0,neutral,,jpg,train
11,11,11,data/BUAA/BUAAVISNIR/90/22.bmp,99,buaa,nir,22.bmp,buaa-90-22.jpg,,,bmp,mongo,1.0,0.95,0.15,Happy,90.0,affection,,jpg,train
12,12,12,data/BUAA/BUAAVISNIR/90/24.bmp,101,buaa,nir,24.bmp,buaa-90-24.jpg,,,bmp,mongo,6.0,-0.11,0.29,Anger,90.0,affection,,jpg,train
13,13,13,data/BUAA/BUAAVISNIR/90/26.bmp,103,buaa,nir,26.bmp,buaa-90-26.jpg,,,bmp,mongo,6.0,-0.17,0.58,Anger,90.0,affection,,jpg,train
14,14,14,data/BUAA/BUAAVISNIR/90/28.bmp,105,buaa,nir,28.bmp,buaa-90-28.jpg,,,bmp,mongo,3.0,0.42,0.85,Surprise,90.0,affection,,jpg,train
15,15,15,data/BUAA/BUAAVISNIR/112/2.bmp,121,buaa,nir,2.bmp,buaa-112-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,112.0,neutral,,jpg,train
