,db,spectra,filepath,filename,adjusted_unique_filename,oulucasia-patient,oulucasia-emotion,filetype,race,expression,valence,arousal,expression_name
0,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Anger/000.jpeg,000.jpeg,oulucasia-P001-Anger-000.jpeg,P001,Anger,jpeg,cauca,0.0,0.0,0.0,Neutral
1,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Anger/001.jpeg,001.jpeg,oulucasia-P001-Anger-001.jpeg,P001,Anger,jpeg,cauca,0.0,0.0,0.0,Neutral
2,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Anger/002.jpeg,002.jpeg,oulucasia-P001-Anger-002.jpeg,P001,Anger,jpeg,cauca,0.0,0.0,0.0,Neutral
3,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Anger/003.jpeg,003.jpeg,oulucasia-P001-Anger-003.jpeg,P001,Anger,jpeg,cauca,0.0,0.0,0.0,Neutral
4,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Anger/004.jpeg,004.jpeg,oulucasia-P001-Anger-004.jpeg,P001,Anger,jpeg,cauca,0.0,-0.3008597829525913,0.5470177871865296,Neutral
5,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Anger/005.jpeg,005.jpeg,oulucasia-P001-Anger-005.jpeg,P001,Anger,jpeg,cauca,6.0,-0.3356595569508872,0.6102901035470676,Anger
6,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Anger/006.jpeg,006.jpeg,oulucasia-P001-Anger-006.jpeg,P001,Anger,jpeg,cauca,6.0,-0.3617557059582874,0.6577376471968862,Anger
7,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Anger/007.jpeg,007.jpeg,oulucasia-P001-Anger-007.jpeg,P001,Anger,jpeg,cauca,6.0,-0.3813250569848137,0.6933182854269341,Anger
8,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Anger/008.jpeg,008.jpeg,oulucasia-P001-Anger-008.jpeg,P001,Anger,jpeg,cauca,6.0,-0.396,0.72,Anger
9,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Anger/009.jpeg,009.jpeg,oulucasia-P001-Anger-009.jpeg,P001,Anger,jpeg,cauca,6.0,-0.407004654789372,0.7400084632534036,Anger
10,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Anger/010.jpeg,010.jpeg,oulucasia-P001-Anger-010.jpeg,P001,Anger,jpeg,cauca,6.0,-0.4152569816916246,0.7550126939847721,Anger
